Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST90060374	Phosphatidylcholine_37:5_[M+H]1+/Phosphatidylethanolamine_40:5_[M+H]1+/Phosphatidate_42:6_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	15	17	-0.06565748408049502	4
GCST90060375	Phosphatidylcholine-O_38:5_[M+H]1+/Phosphatidylcholine-P_38:4_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	20	-0.05061039569979803	9
GCST90060378	Phosphatidylcholine_37:4_[M+H]1+/Phosphatidylethanolamine_40:4_[M+H]1+/Phosphatidate_42:5_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	24	-0.05874956860065557	6
GCST90060379	Phosphatidylcholine-O_38:4_[M+H]1+/Phosphatidylcholine-P_38:3_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	-0.058846	16-25
GCST90060387	Phosphatidylcholine_33:2_[M+Oac]1-/Phosphatidylserine_37:1_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	7	7	0.05929	89-100
GCST90060393	Phosphatidylcholine_38:6_[M+H]1+/Phosphatidylethanolamine_41:6_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	-0.133289	0-11
GCST90060395	Phosphatidylcholine_38:5_[M+H]1+/Phosphatidylethanolamine_41:5_[M+H]1+/Phosphatidate_43:6_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	22	28	-0.03835238786199459	11
GCST90060401	Phosphatidylcholine-O_35:4_[M+Oac]1-/Phosphatidylcholine-P_35:3_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	9	9	-0.0728378	0-11
GCST90060402	Phosphatidylcholine_38:3_[M+H]1+/Phosphatidylethanolamine_41:3_[M+H]1+/Phosphatidate_43:4_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	21	0.05010879742217695	93
GCST90060408	Phosphatidylcholine_38:2_[M+H]1+/Phosphatidylethanolamine_41:2_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	19	0.029723130879343324	80
GCST90060411	Phosphatidylcholine_34:2_[M+Oac]1-/Phosphatidylserine_38:1_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	20	0.01597981251617226	88
GCST90060420	Phosphatidylcholine-O_40:6_[M+H]1+/Phosphatidylcholine-P_40:5_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	-0.0634405	15-23
GCST90060423	Phosphatidylcholine-O_40:5_[M+H]1+/Phosphatidylcholine-P_40:4_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	16	-0.1027752	0
GCST90060427	Phosphatidylcholine_35:5_[M+Oac]1-/Phosphatidylserine_39:4_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	-0.08701155	0-6
GCST90060442	Phosphatidylcholine_40:7_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	14	-0.06107001424665937	7-9
GCST90060446	Phosphatidylcholine_40:6_[M+H]1+/Phosphatidylethanolamine_43:6_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	13	-0.12188416666666667	0
GCST90060451	Phosphatidylcholine_40:5_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	22	-0.0374981828815453	10
GCST90060457	Phosphatidylcholine_40:4_[M+H]1+/Phosphatidylethanolamine_43:4_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	19	-0.06349490690142502	7
GCST90060465	Phosphatidylcholine_36:2_[M+Oac]1-/Phosphatidylserine_40:1_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	14	0.028270804496449593	91
GCST90060487	Phosphatidylcholine_37:3_[M+Oac]1-/Phosphatidylserine_41:2_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	15	18	0.032432909696168924	93
GCST90060512	Phosphatidylcholine_39:6_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	5	5	-0.0599931	0-11
GCST90060514	Phosphatidylcholine-O_44:5_[M+H]1+/Phosphatidylcholine-P_44:4_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	17	-0.0736217191861455	7
GCST90060530	Phosphatidylcholine_40:7_[M+Oac]1-/Phosphatidylserine_44:6_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	1	2	0.012202103524657937	45-47
GCST90060534	Phosphatidylcholine_40:6_[M+Oac]1-/Phosphatidylserine_44:5_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	-0.05924388333333333	2-4
GCST90060545	Phosphatidylcholine-O_42:6_[M+Oac]1-/Phosphatidylcholine-P_42:5_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	15	-0.06395726831767572	6
GCST90060552	Phosphatidylcholine_42:4_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	14	-0.052029239617405486	6
GCST90060557	Phosphatidylcholine-O_44:5_[M+Oac]1-/Phosphatidylcholine-P_44:4_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	17	-0.03286595491606296	5-6
GCST90060563	Phosphatidylcholine_44:5_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	10	10	-0.09394335000000001	0-4
GCST90060671	Phosphatidylcholine-O(32:0)_[M+H]1+/Phosphatidylethanolamine-O(35:0)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	-0.022525	100
GCST90060686	Phosphatidylcholine(32:0)_[M+H]1+/Phosphatidylethanolamine(35:0)_[M+H]1+/Phosphatidate(37:1)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	52	52	-0.0199375	22
GCST90060692	Phosphatidylcholine(33:3)_[M+H]1+/Phosphatidylethanolamine(36:3)_[M+H]1+/Phosphatidate(38:4)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	48	51	-0.001136729154223513	63-65
GCST90060694	Phosphatidylcholine-O(34:3)_[M+H]1+/Phosphatidylethanolamine-P(37:2)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	2	2	NF	NA
GCST90060696	Phosphatidylcholine(33:2)_[M+H]1+/Phosphatidylethanolamine(36:2)_[M+H]1+/Phosphatidate(38:3)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	48	52	-0.002478343140440145	0
GCST90060703	Phosphatidylcholine-O(34:1)_[M+H]1+/Phosphatidylcholine-P(34:0)_[M+H]1+/Phosphatidylethanolamine-O(37:1)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	10	10	-0.07783333333333334	0
GCST90060718	Phosphatidylcholine(34:2)_[M+H]1+/Phosphatidylethanolamine(37:2)_[M+H]1+/Phosphatidate(39:3)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	36	37	-0.001922061438373	1-14
GCST90060735	Phosphatidylcholine-O(36:5)_[M+H]1+/Phosphatidylcholine-P(36:4)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	103	108	-0.00971526493727851	76
GCST90060738	Phosphatidylcholine(35:4)_[M+H]1+/Phosphatidylethanolamine(38:4)_[M+H]1+/Phosphatidate(40:5)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	59	68	-0.016705799449468723	10
GCST90060740	Phosphatidylcholine-O(36:4)_[M+H]1+/Phosphatidylcholine-P(36:3)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	6	7	-0.006029639655019921	1-14
GCST90060743	Phosphatidylcholine(35:3)_[M+H]1+/Phosphatidylethanolamine(38:3)_[M+H]1+/Phosphatidate(40:4)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	28	28	0.019	88-100
GCST90060744	Phosphatidylcholine-O(36:3)_M+H]1+/Phosphatidylcholine-P(36:2)_M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	44	0.04188846615391534	95-100
GCST90060756	Phosphatidylcholine-O(36:1)_[M+H]1+/Phosphatidylethanolamine-O(39:1)_[M+H]1+/Phosphatidylcholine-P(36:0)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	35	36	0.020133333333333333	76-100
GCST90060762	Phosphatidylcholine(36:4)_[M+H]1+/Phosphatidylethanolamine(39:4)_[M+H]1+/Phosphatidate(41:5)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	7	9	-0.03158173011173079	96-98
GCST90060766	Phosphatidylcholine(36:3)_[M+H]1+/Phosphatidylethanolamine(39:3)_[M+H]1+/Phosphatidate(41:4)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	56	60	-0.02209251181529639	53
GCST90060772	Phosphatidylcholine(36:2)_[M+H]1+/Phosphatidylethanolamine(39:2)_[M+H]1+/Phosphatidate(41:3)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	31	31	NF	NA
GCST90060790	Phosphatidylcholine(37:6)_[M+H]1+/Phosphatidylethanolamine(40:6)_[M+H]1+/Phosphatidate(42:7)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	6	12	-0.012814896611530303	18-19
GCST90060796	Phosphatidylcholine-O(38:5)_[M+H]1+/Phosphatidylcholine-P(38:4)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	50	51	-0.017710145034106943	0
GCST90060799	Phosphatidylcholine(37:4)_[M+H]1+/Phosphatidylethanolamine(40:4)_[M+H]1+/Phosphatidate(42:5)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	50	51	0.05174908175191177	99
GCST90060801	Phosphatidylcholine-O(38:4)_[M+H]1+/Phosphatidylcholine-P(38:3)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	17	0.1159	90-100
GCST90060805	Phosphatidylcholine(37:4)_[M+H]1+/Phosphatidylethanolamine(40:3)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	46	46	NF	NA
GCST90060818	Phosphatidylcholine(38:6)_[M+H]1+/Phosphatidylethanolamine(41:6)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	24	24	-0.0197	34-37
GCST90060822	Phosphatidylcholine(38:5)_[M+H]1+/Phosphatidylethanolamine(41:5)_[M+H]1+/Phosphatidate(43:6)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	44	45	-0.0087231882547227	0
GCST90060829	Phosphatidylcholine(38:4)_[M+H]1+/Phosphatidylethanolamine(41:4)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	50	53	-0.014860703421395217	63-100
GCST90060833	Phosphatidylcholine(38:3)_[M+H]1+/Phosphatidylethanolamine(41:3)_[M+H]1+/Phosphatidate(43:4)_[M+Nh4]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	57	59	-0.0286675810052352	56
GCST90060838	Phosphatidylcholine(38:2)_[M+H]1+/Phosphatidylethanolamine(41:2)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	15	-0.0033279560393613948	68-69
GCST90060842	Phosphatidylcholine-O(39:1)_[M+H]1+/Phosphatidylethanolamine-P(39:0)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	17	0.02047195489920295	99-100
GCST90060851	Phosphatidylcholine-O(40:6)_[M+H]1+/Phosphatidylcholine-P(40:5)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	38	38	-0.017866666666666666	0
GCST90060855	Phosphatidylcholine-O(40:5)_[M+H]1+/Phosphatidylcholine-P(40:4)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	46	47	-0.020010917755124258	74-75
GCST90060861	Phosphatidylcholine(40:8)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	6	7	0.0019491278481802432	0-6
GCST90060870	Phosphatidylcholine(40:6)_[M+H]1+/Phosphatidylethanolamine(43:6)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	34	35	-0.01617447641407056	7-37
GCST90060875	Phosphatidylcholine(40:5)_[M+H]1+ Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	43	-0.010272294433821015	57-87
GCST90060878	Phosphatidylcholine(36:5)_[M+Oac]1-/Phosphatidylserine(40:4)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	42	-0.03361231870736632	13-21
GCST90060882	Phosphatidylcholine(36:3)_[M+Oac]1-/Phosphatidylserine(40:2)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	46	47	0.01766289871028302	100
GCST90060922	Phosphatidylcholine(38:4)_[M+Oac]1-/Phosphatidylserine(42:3)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	50	52	0.029319435708886437	100
GCST90060926	Phosphatidylcholine(38:3)_[M+Oac]1-/Phosphatidylserine(42:2)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	52	54	-0.02464753052688667	79-87
GCST90060939	Phosphatidylcholine(39:6)_[M+Oac]1-/Phosphatidylserine(43:5)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	15	15	-0.0561	0-13
GCST90060957	Phosphatidylcholine(40:6)_[M+Oac]1-/Phosphatidylserine(44:5)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	25	25	NF	NA
GCST90060959	Phosphatidylcholine(40:5)_[M+Oac]1-/Phosphatidylserine(44:4)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	43	-0.005365679568121323	94-99
GCST90060962	Phosphatidylcholine(40:4)_[M+Oac]1-/Phosphatidylserine(44:3)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	37	38	0.027619645435667178	90-94
GCST90060982	Phosphatidylcholine(45:0)_[M-H]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	0.0429375	15-100
GCST90060990	Phosphatidylcholine(42:4)_[M+Oac]1- Levels	Phosphatidylcholine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	41	42	-0.05328404214748942	0
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:0;0-16:0;0))	NA	beta	unit	EUR	0	1	1	0.1738	77-100
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:0;0-18:1;0))	NA	beta	unit	EUR	0	1	1	0.29855	99-100
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:0;0-20:4;0))	NA	beta	unit	EUR	0	1	2	-0.2617906140233871	3
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:0;0-20:5;0))	NA	beta	unit	EUR	0	1	1	-0.3365	0-12
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:0;0-22:4;0))	NA	beta	unit	EUR	0	1	1	-0.2669	0-14
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:0;0-22:5;0))	NA	beta	unit	EUR	0	1	1	-0.3536	0-12
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(16:1;0-18:2;0))	NA	beta	unit	EUR	0	1	1	0.2964	88-100
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(17:0;0-20:4;0))	NA	beta	unit	EUR	0	1	1	-0.3572	0-12
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(18:0;0-18:2;0))	NA	beta	unit	EUR	0	1	1	0.1735	89-100
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(18:0;0-20:5;0))	NA	beta	unit	EUR	0	1	2	-0.19295189681561073	1
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(18:0;0-22:5;0))	NA	beta	unit	EUR	0	1	1	-0.2515	0-9
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(18:1;0-18:2;0))	NA	beta	unit	EUR	0	1	1	0.2987	89-100
GCST008927	Phosphatidylcholine Levels	Phosphatidylcholine Measurement	Tabassum et al. 2019	(pc(18:1;0-20:4;0))	NA	beta	unit	EUR	0	1	2	-0.22826974632744568	2-4
GCST90060204	Ceramide_42:2_[M+H-H2o]1+ Levels	Phosphatidylethanolamine Ether Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	2	3	-0.025901234451217215	0
GCST008930	Phosphatidylethanolamine-Ether Levels	Phosphatidylethanolamine Ether Measurement	Tabassum et al. 2019	(peo(16:1;0-18:2;0))	NA	beta	unit	EUR	0	1	1	0.1941	90-100
GCST008930	Phosphatidylethanolamine-Ether Levels	Phosphatidylethanolamine Ether Measurement	Tabassum et al. 2019	(peo(16:1;0-20:4;0))	NA	beta	unit	EUR	0	1	2	-0.12154508539966466	5-6
GCST90060186	Phosphatidylethanolamine_25:0_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	1	1	0.0401324	50-91
GCST90060212	Ceramide_42:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	2	3	-0.030690141964004217	2-4
GCST90060232	Phosphatidylethanolamine-O_34:3_[M-H]1-/Phosphatidylethanolamine-P_34:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	15	0.05653653203818928	94-96
GCST90060238	Phosphatidylethanolamine-O_34:1_[M-H]1-/Phosphatidylethanolamine-P_34:0_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	3	3	-0.04997503333333333	0-17
GCST90060247	Phosphatidylethanolamine_34:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	20	30	0.021661900305608325	69
GCST90060253	Phosphatidylethanolamine_34:0_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	-0.0572744	0-13
GCST90060256	Phosphatidylethanolamine-O_36:5_[M-H]1-/Phosphatidylethanolamine-P_36:4_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	16	-0.07415286529603475	5-6
GCST90060258	Phosphatidylethanolamine-O_36:4_[M-H]1-/Phosphatidylethanolamine-P_36:3_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	0.1002547	91-94
GCST90060259	Phosphatidylethanolamine-O_36:3_[M-H]1-/Phosphatidylethanolamine-P_36:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	9	9	0.0921369	90-100
GCST90060260	Phosphatidylethanolamine_35:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	15	17	0.03863898273887022	90
GCST90060272	Phosphatidylethanolamine_36:4_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	8	16	0.005235629025634222	18
GCST90060274	Phosphatidylethanolamine_36:3_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	18	25	0.017563886972361064	74-75
GCST90060276	Phosphatidylethanolamine_36:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	19	0.016896238066054392	86
GCST90060288	Phosphatidylethanolamine-O_38:6_[M-H]1-/Phosphatidylethanolamine-P_38:5_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	-0.10340650000000001	0
GCST90060292	Phosphatidylethanolamine-O_38:5_[M-H]1-/Phosphatidylethanolamine-P_38:4_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	15	18	-0.04446824006824863	9
GCST90060296	Phosphatidylethanolamine_37:3_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	13	0.062341126227870226	94
GCST90060297	Phosphatidylethanolamine-O_38:3_[M-H]1-/Phosphatidylethanolamine-P_38:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	13	0.048282374388193494	94
GCST90060299	Phosphatidylethanolamine_37:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	14	0.08124619999999999	90-94
GCST90060313	Phosphatidylethanolamine_38:5_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	22	28	-0.012080632452553535	6
GCST90060315	Phosphatidylethanolamine_38:4_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	19	29	-0.018413786434685765	11
GCST90060317	Phosphatidylethanolamine_38:3_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	18	25	0.03126792416610074	97
GCST90060320	Phosphatidylethanolamine_38:2_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	11	0.06449830000000001	95-100
GCST90060337	Phosphatidylethanolamine-O_40:6_[M-H]1-/Phosphatidylethanolamine-P_40:5_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	-0.08971045	0-6
GCST90060343	Phosphatidylethanolamine-O_40:5_[M-H]1-/Phosphatidylethanolamine-P_40:4_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	19	-0.04341560888097402	8-9
GCST90060346	Phosphatidylethanolamine_39:4_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	19	-0.05049795417549737	7-9
GCST90060365	Phosphatidylethanolamine_40:6_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	11	12	-0.0184583421154171	0-3
GCST90060665	Phosphatidylethanolamine(34:2)_[M+H]1+ Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	57	64	-0.025426638384102793	5
GCST90060689	Phosphatidylethanolamine(36:4)_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	25	33	0.002388658497620424	22
GCST90060690	Phosphatidylethanolamine(36:4)_[M+H]1+ Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	20	28	-0.022038224642114825	0
GCST90060709	Phosphatidylethanolamine-O(38:6)_[M+H]1+/Phosphatidylcholine-P(35:5)_[M+H]1+ Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	39	40	0.008999033510201895	94-100
GCST90060711	Phosphatidylethanolamine-O(38:4)_[M-H]1-/Phosphatidylcholine-O(35:4)_[M-H]1-/Phosphatidylcholine-P(35:3)_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	42	43	0.021480917724314007	94-97
GCST90060733	Phosphatidylethanolamine(38:5)_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	45	50	0.020909752667103515	100
GCST90060806	Phosphatidylethanolamine(40:2)_[M-H]1- Levels	Phosphatidylethanolamine Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	4	5	0.09471156872359764	0-100
